1.640000, -0.982114, 0.072250
1.650000, -0.965550, 0.070000
1.660000, -0.943702, 0.068000
1.670000, -0.916673, 0.065250
1.680000, -0.884599, 0.062750
1.690000, -0.847639, 0.060250
1.700000, -0.805983, 0.058000
1.710000, -0.759847, 0.055750
1.720000, -0.709473, 0.053250
1.730000, -0.655127, 0.050750
1.740000, -0.597099, 0.048750
1.750000, -0.535702, 0.046250
1.760000, -0.471266, 0.043250
1.770000, -0.404141, 0.041250
1.780000, -0.334696, 0.039000
1.790000, -0.263313, 0.036750
1.800000, -0.190384, 0.034500
1.810000, -0.116317, 0.032500
1.820000, -0.041526, 0.030500
1.830000, 0.033572, 0.029000
1.840000, 0.108554, 0.027000
1.850000, 0.182990, 0.025000
1.860000, 0.256462, 0.023000
1.870000, 0.328547, 0.022000
1.880000, 0.398830, 0.020750
1.890000, 0.466908, 0.020000
1.900000, 0.532381, 0.019250
1.910000, 0.594871, 0.019250
1.920000, 0.654008, 0.019250
1.930000, 0.709444, 0.019250
1.940000, 0.760850, 0.019500
1.950000, 0.807914, 0.020000
1.960000, 0.850355, 0.020500
1.970000, 0.887914, 0.021500
1.980000, 0.920357, 0.022750
1.990000, 0.947481, 0.024250
2.000000, 0.969115, 0.026000
2.010000, 0.985114, 0.027750
2.020000, 0.995370, 0.030000
2.030000, 0.999806, 0.032500
2.040000, 0.998380, 0.034750
2.050000, 0.991082, 0.036750
2.060000, 0.977940, 0.038750
2.070000, 0.959014, 0.041000
2.080000, 0.934400, 0.043500
2.090000, 0.904226, 0.046750
2.100000, 0.868657, 0.049500
2.110000, 0.827888, 0.051500
2.120000, 0.782149, 0.053750
2.130000, 0.731697, 0.055750
2.140000, 0.676820, 0.058250
2.150000, 0.617836, 0.060750
2.160000, 0.555086, 0.062750
2.170000, 0.488938, 0.064750
2.180000, 0.419781, 0.067000
2.190000, 0.348024, 0.069000
2.200000, 0.274093, 0.071500
2.210000, 0.198431, 0.073000
2.220000, 0.121491, 0.074750
2.230000, 0.043740, 0.077000
2.240000, -0.034352, 0.079000
2.250000, -0.112306, 0.080750
2.260000, -0.189650, 0.082500
2.270000, -0.265903, 0.084250
2.280000, -0.340595, 0.085500
2.290000, -0.413262, 0.086750
2.300000, -0.483450, 0.088250
2.310000, -0.550719, 0.089250
2.320000, -0.614643, 0.089750
2.330000, -0.674816, 0.090000
2.340000, -0.730853, 0.090000
